name,desc,latitude,longitude
94002,"Belmont, CA | 350 vendas | mediana $860,000",37.5174,-122.2927
94005,"Brisbane, CA | 95 vendas | mediana $650,000",37.6811,-122.4001
94010,"Burlingame, CA | 490 vendas | mediana $1,350,000",37.5671,-122.3676
94014,"Daly City, CA | 422 vendas | mediana $669,500",37.6875,-122.4388
94015,"Daly City, CA | 608 vendas | mediana $683,500",37.6787,-122.478
94018,"El Granada, CA | 43 vendas | mediana $775,000",37.5101,-122.4734
94019,"Half Moon Bay, CA | 259 vendas | mediana $835,000",37.4791,-122.4459
94020,"La Honda, CA | 17 vendas | mediana $550,000",37.2726,-122.2495
94022,"Los Altos, CA | 214 vendas | mediana $1,654,500",37.3814,-122.1258
94024,"Los Altos, CA | 249 vendas | mediana $1,505,000",37.3547,-122.0862
94025,"Menlo Park, CA | 341 vendas | mediana $870,000",37.4396,-122.1864
94027,"Atherton, CA | 32 vendas | mediana $1,765,750",37.4563,-122.2002
94028,"Portola Valley, CA | 25 vendas | mediana $1,565,000",37.3702,-122.2182
94030,"Millbrae, CA | 220 vendas | mediana $877,500",37.6004,-122.402
94037,"Montara, CA | 32 vendas | mediana $757,500",37.5428,-122.5052
94038,"Moss Beach, CA | 33 vendas | mediana $811,000",37.531,-122.5068
94040,"Mountain View, CA | 393 vendas | mediana $800,000",37.3855,-122.088
94041,"Mountain View, CA | 113 vendas | mediana $818,000",37.3893,-122.0783
94043,"Mountain View, CA | 407 vendas | mediana $605,000",37.4056,-122.0775
94044,"Pacifica, CA | 428 vendas | mediana $680,000",37.6196,-122.4816
94060,"Pescadero, CA | 11 vendas | mediana $780,000",37.2065,-122.3649
94061,"Redwood City, CA | 385 vendas | mediana $772,000",37.4647,-122.2304
94062,"Redwood City, CA | 315 vendas | mediana $1,000,000",37.4245,-122.296
94063,"Redwood City, CA | 196 vendas | mediana $651,250",37.4815,-122.2091
94065,"Redwood City, CA | 301 vendas | mediana $830,000",37.5331,-122.2486
94066,"San Bruno, CA | 626 vendas | mediana $660,000",37.6247,-122.429
94070,"San Carlos, CA | 437 vendas | mediana $905,000",37.4969,-122.2674
94080,"South San Francisco, CA | 637 vendas | mediana $675,000",37.6574,-122.4235
94085,"Sunnyvale, CA | 279 vendas | mediana $590,000",37.3886,-122.0177
94086,"Sunnyvale, CA | 535 vendas | mediana $653,000",37.3764,-122.0238
94087,"Sunnyvale, CA | 610 vendas | mediana $812,500",37.3502,-122.0349
94089,"Sunnyvale, CA | 219 vendas | mediana $643,500",37.3983,-122.0006
94102,"San Francisco, CA | 90 vendas | mediana $597,500",37.7813,-122.4167
94103,"San Francisco, CA | 243 vendas | mediana $680,000",37.7725,-122.4147
94104,"San Francisco, CA | 11 vendas | mediana $1,150,000",37.7915,-122.4018
94105,"San Francisco, CA | 217 vendas | mediana $629,000",37.7864,-122.3892
94107,"San Francisco, CA | 693 vendas | mediana $700,000",37.7621,-122.3971
94108,"San Francisco, CA | 59 vendas | mediana $670,000",37.7929,-122.4079
94109,"San Francisco, CA | 333 vendas | mediana $701,000",37.7917,-122.4186
94110,"San Francisco, CA | 487 vendas | mediana $800,000",37.7509,-122.4153
94111,"San Francisco, CA | 51 vendas | mediana $769,000",37.7974,-122.4001
94112,"San Francisco, CA | 559 vendas | mediana $680,000",37.7195,-122.4411
94114,"San Francisco, CA | 387 vendas | mediana $1,150,000",37.7587,-122.433
94115,"San Francisco, CA | 326 vendas | mediana $852,250",37.7856,-122.4358
94116,"San Francisco, CA | 352 vendas | mediana $810,000",37.7441,-122.4863
94117,"San Francisco, CA | 291 vendas | mediana $931,000",37.7712,-122.4413
94118,"San Francisco, CA | 244 vendas | mediana $1,150,000",37.7812,-122.4614
94121,"San Francisco, CA | 229 vendas | mediana $950,000",37.7786,-122.4892
94122,"San Francisco, CA | 369 vendas | mediana $830,000",37.7593,-122.4836
94123,"San Francisco, CA | 202 vendas | mediana $1,240,000",37.7999,-122.4342
94124,"San Francisco, CA | 259 vendas | mediana $599,000",37.7309,-122.3886
94127,"San Francisco, CA | 213 vendas | mediana $931,000",37.7354,-122.4571
94128,"San Francisco, CA | 1 vendas | mediana $2,700,000",37.6216,-122.3929
94131,"San Francisco, CA | 371 vendas | mediana $880,000",37.745,-122.4383
94132,"San Francisco, CA | 199 vendas | mediana $715,500",37.7211,-122.4754
94133,"San Francisco, CA | 143 vendas | mediana $885,000",37.8002,-122.4091
94134,"San Francisco, CA | 270 vendas | mediana $640,000",37.719,-122.4096
94137,"San Francisco, CA | 1 vendas | mediana $840,000",37.7749,-122.4194
94158,"San Francisco, CA | 9 vendas | mediana $1,625,000",37.7694,-122.3867
94301,"Palo Alto, CA | 129 vendas | mediana $1,270,000",37.4443,-122.1497
94303,"Palo Alto, CA | 369 vendas | mediana $608,000",37.4673,-122.1388
94304,"Palo Alto, CA | 4 vendas | mediana $1,635,250",37.4334,-122.1842
94305,"Stanford, CA | 1 vendas | mediana $1,350,000",37.4236,-122.1619
94306,"Palo Alto, CA | 170 vendas | mediana $920,500",37.418,-122.1274
94401,"San Mateo, CA | 440 vendas | mediana $650,000",37.5735,-122.3225
94402,"San Mateo, CA | 308 vendas | mediana $950,000",37.5507,-122.3276
94403,"San Mateo, CA | 468 vendas | mediana $778,500",37.5395,-122.2998
94404,"San Mateo, CA | 551 vendas | mediana $745,000",37.5538,-122.27
94501,"Alameda, CA | 680 vendas | mediana $675,000",37.7706,-122.2648
94502,"Alameda, CA | 242 vendas | mediana $700,000",37.7351,-122.2431
94503,"American Canyon, CA | 545 vendas | mediana $633,500",38.1668,-122.2553
94506,"Danville, CA | 458 vendas | mediana $1,100,000",37.8321,-121.9167
94507,"Alamo, CA | 253 vendas | mediana $1,397,000",37.8537,-122.0229
94508,"Angwin, CA | 26 vendas | mediana $714,500",38.5769,-122.4477
94509,"Antioch, CA | 1587 vendas | mediana $430,000",37.9939,-121.8089
94510,"Benicia, CA | 638 vendas | mediana $588,000",38.0685,-122.1614
94511,"Bethel Island, CA | 20 vendas | mediana $512,500",38.0266,-121.6425
94513,"Brentwood, CA | 2266 vendas | mediana $620,000",37.9324,-121.6894
94514,"Byron, CA | 761 vendas | mediana $613,000",37.8254,-121.6236
94515,"Calistoga, CA | 61 vendas | mediana $680,000",38.5823,-122.5814
94517,"Clayton, CA | 231 vendas | mediana $758,000",37.9154,-121.91
94518,"Concord, CA | 545 vendas | mediana $539,000",37.9504,-122.0263
94519,"Concord, CA | 459 vendas | mediana $515,000",37.9841,-122.0119
94520,"Concord, CA | 637 vendas | mediana $386,000",37.9823,-122.0362
94521,"Concord, CA | 915 vendas | mediana $555,000",37.9575,-121.975
94523,"Pleasant Hill, CA | 643 vendas | mediana $615,000",37.954,-122.0737
94525,"Crockett, CA | 57 vendas | mediana $469,000",38.0519,-122.2177
94526,"Danville, CA | 583 vendas | mediana $870,000",37.814,-121.966
